model,split,batch_size,lr,stop_epoch,training_time_min,test_mae,test_mse,test_rmse,test_r2
resnet18,random,16,0.0,13,1.27,3.81,29.92,5.47,0.72
resnet34,random,16,0.0,21,2.26,3.69,29.99,5.48,0.67
resnet50,identity,16,0.0,12,1.79,4.07,30.01,5.48,0.67
efficientnet,identity,16,0.0,12,1.5,3.93,30.04,5.48,0.69
resnet50,random,16,0.0,22,3.12,3.56,30.09,5.49,0.72
mobilenet,random,16,0.0,17,1.8,3.76,30.17,5.49,0.71
resnet34,identity,32,0.0,27,2.85,3.48,30.21,5.5,0.55
mobilenet,random,32,0.0,16,1.66,4.14,30.81,5.55,0.67
resnet34,identity,32,0.0,15,1.63,3.62,31.03,5.57,0.55
efficientnet,identity,32,0.0,16,1.85,3.97,31.06,5.57,0.6
efficientnet,identity,16,0.0,15,1.84,4.02,31.23,5.59,0.62
resnet18,random,32,0.0,19,1.76,4.03,31.24,5.59,0.71
resnet34,identity,16,0.0,11,1.27,3.43,31.46,5.61,0.48
mobilenet,identity,16,0.0,17,1.82,3.91,31.83,5.64,0.59
resnet18,identity,16,0.0,12,1.22,3.91,31.85,5.64,0.56
efficientnet,identity,32,0.0,11,1.3,4.0,32.38,5.69,0.62
efficientnet,random,32,0.0,19,2.17,4.15,32.7,5.72,0.74
efficientnet,random,16,0.0,19,2.28,4.18,32.76,5.72,0.73
efficientnet,random,32,0.0,19,2.17,4.08,32.94,5.74,0.69
resnet34,random,32,0.0,15,1.57,4.13,33.11,5.75,0.68
efficientnet,identity,16,0.0,18,2.19,4.05,33.14,5.76,0.65
resnet50,random,16,0.0,34,4.75,4.11,33.36,5.78,0.7
resnet18,identity,16,0.0,16,1.6,3.97,34.01,5.83,0.51
efficientnet,identity,32,0.0,9,1.09,4.19,34.02,5.83,0.62
efficientnet,identity,16,0.0,14,1.74,3.95,34.11,5.84,0.62
resnet18,identity,32,0.0,18,1.7,3.82,34.41,5.87,0.45
efficientnet,identity,32,0.0,24,2.72,4.17,34.54,5.88,0.63
resnet34,random,16,0.0,15,1.65,3.85,35.14,5.93,0.62
efficientnet,identity,32,0.0,19,2.18,4.06,35.42,5.95,0.59
resnet50,identity,32,0.0,19,2.63,4.01,35.59,5.97,0.33
resnet50,random,32,0.0,53,6.9,4.41,36.44,6.04,0.65
efficientnet,identity,32,0.0,19,2.17,4.07,37.05,6.09,0.56
efficientnet,identity,16,0.0,14,1.72,4.12,37.38,6.11,0.52
efficientnet,identity,16,0.0,19,2.3,4.16,37.55,6.13,0.53
resnet50,random,16,0.0,13,1.91,4.31,38.32,6.19,0.56
resnet50,random,16,0.0,32,4.49,4.61,39.76,6.31,0.61
resnet50,identity,16,0.0,26,3.74,4.67,40.61,6.37,0.47
resnet50,identity,32,0.0,48,6.39,4.96,43.98,6.63,0.47
resnet34,identity,16,0.0,39,4.27,4.77,44.21,6.65,0.45
resnet50,identity,32,0.0,39,5.22,4.93,46.47,6.82,0.37
mobilenet,identity,16,0.0,59,6.05,5.26,48.92,6.99,0.36
resnet50,random,32,0.0,39,5.12,5.52,52.17,7.22,0.45
resnet34,identity,16,0.0,23,2.53,5.65,53.47,7.31,0.29
mobilenet,identity,16,0.0,39,4.04,6.07,60.63,7.79,0.22
resnet18,random,16,0.0,55,5.08,6.64,70.51,8.4,0.2
mobilenet,random,16,0.0,39,4.04,6.69,72.76,8.53,0.12
resnet34,identity,32,0.0,42,4.34,6.86,72.96,8.54,-0.01
resnet50,identity,16,0.0,19,2.74,6.98,75.09,8.67,-0.06
resnet50,random,16,0.0,19,2.72,6.82,76.24,8.73,0.07
resnet34,random,16,0.0,30,3.18,7.27,77.62,8.81,0.17
resnet34,identity,32,0.0,39,4.0,7.34,80.0,8.94,-0.17
efficientnet,identity,16,0.0,39,4.61,6.88,83.12,9.12,-0.08
resnet18,identity,16,0.0,38,3.65,7.33,85.57,9.25,-0.44
resnet34,random,32,0.0,59,5.87,7.76,87.44,9.35,-0.03
mobilenet,identity,32,0.0,54,5.37,7.7,88.86,9.43,-0.34
resnet34,random,32,0.0,39,3.92,8.14,93.14,9.65,0.02
resnet34,identity,16,0.0,19,2.13,8.11,96.17,9.81,-0.51
efficientnet,identity,16,0.0,39,4.6,7.55,98.47,9.92,-0.45
resnet18,random,16,0.0,39,3.63,8.22,98.66,9.93,-0.13
resnet18,random,32,0.0,59,5.27,8.26,99.7,9.99,-0.15
resnet34,random,16,0.0,24,2.57,8.43,102.02,10.1,-0.28
efficientnet,random,16,0.0,46,5.36,7.95,103.96,10.2,-0.3
resnet50,identity,32,0.0,19,2.64,8.82,108.18,10.4,-0.71
mobilenet,identity,16,0.0,19,2.01,8.9,111.42,10.56,-0.51
mobilenet,random,16,0.0,27,2.85,8.59,111.46,10.56,-0.45
resnet18,identity,16,0.0,29,2.8,8.88,114.17,10.68,-0.94
resnet34,random,16,0.0,19,2.07,9.16,116.09,10.77,-0.35
resnet50,random,32,0.0,19,2.56,9.15,116.3,10.78,-0.41
efficientnet,random,16,0.0,39,4.57,8.76,118.11,10.87,-0.46
resnet18,identity,16,0.0,19,1.86,9.44,127.23,11.28,-1.18
mobilenet,random,16,0.0,19,2.0,9.5,127.6,11.3,-0.51
resnet18,identity,32,0.0,44,4.07,9.63,128.68,11.34,-1.11
mobilenet,identity,32,0.0,29,2.94,9.72,130.21,11.41,-0.96
resnet18,identity,32,0.0,39,3.59,9.8,130.24,11.41,-0.97
resnet34,identity,32,0.0,18,1.9,9.77,130.32,11.42,-1.33
efficientnet,random,32,0.0,59,6.49,9.34,133.79,11.57,-0.72
efficientnet,identity,32,0.0,37,4.16,9.44,139.79,11.82,-1.53
efficientnet,identity,32,0.0,36,4.06,9.48,141.78,11.91,-1.56
efficientnet,identity,16,0.0,19,2.32,9.42,143.76,11.99,-2.15
resnet18,random,32,0.0,39,3.5,10.29,145.01,12.04,-0.88
efficientnet,random,32,0.0,39,4.35,9.78,145.89,12.08,-0.75
mobilenet,random,32,0.0,38,3.8,10.01,146.38,12.1,-1.21
mobilenet,random,32,0.0,32,3.2,10.55,153.03,12.37,-1.09
resnet18,random,16,0.0,19,1.82,10.97,161.17,12.7,-1.04
resnet34,random,32,0.0,19,1.95,11.22,162.16,12.73,-1.11
efficientnet,random,16,0.0,19,2.27,10.27,163.33,12.78,-1.75
mobilenet,identity,32,0.0,19,1.96,11.76,180.26,13.43,-1.95
resnet18,identity,32,0.0,19,1.79,11.64,182.87,13.52,-2.44
efficientnet,identity,32,0.0,19,2.19,11.07,194.31,13.94,-5.91
mobilenet,random,32,0.0,19,1.95,12.55,209.49,14.47,-2.57
resnet18,random,32,0.0,19,1.76,13.26,227.94,15.1,-2.82
efficientnet,random,32,0.0,19,2.16,12.66,248.57,15.77,-8.53
