model,split,batch_size,lr,epochs,test_mae,test_mse,test_rmse,test_r2
resnet18,identity,16,0.0005,,3.4616310596466064,25.044570922851562,5.004455089569092,0.7979105710983276
resnet34,random,16,0.0005,,3.468703269958496,27.71395492553711,5.264404296875,0.8214020133018494
resnet50,identity,32,0.0001,,3.4692866802215576,25.11011505126953,5.0109992027282715,0.7973816394805908
resnet18,random,32,0.0001,,3.4724268913269043,23.05796241760254,4.801870822906494,0.8514068126678467
mobilenet,identity,32,0.0001,,3.4838390350341797,23.931135177612305,4.891945838928223,0.8068950176239014
efficientnet,identity,32,0.0005,,3.4970648288726807,24.232900619506836,4.92269229888916,0.8044600486755371
resnet18,random,16,0.0001,,3.5011422634124756,27.03204917907715,5.199235439300537,0.8257964253425598
efficientnet,random,32,0.0005,,3.512207508087158,24.4445743560791,4.944145679473877,0.8424710035324097
resnet34,identity,16,0.0005,,3.5236334800720215,27.82343864440918,5.274792671203613,0.7754873037338257
resnet18,random,16,0.0001,,3.525263547897339,25.894691467285156,5.088682651519775,0.8331259489059448
resnet50,random,32,0.0001,,3.5266828536987305,26.247488021850586,5.123230457305908,0.8308523893356323
resnet18,random,32,0.0005,,3.542457342147827,26.800785064697266,5.176947593688965,0.8272867798805237
mobilenet,identity,32,0.0001,,3.5449752807617188,25.406251907348633,5.040461540222168,0.7949920296669006
mobilenet,random,16,0.0005,,3.545349597930908,26.412919998168945,5.139349937438965,0.8297863006591797
resnet18,identity,16,0.0001,,3.5524301528930664,23.69099235534668,4.867339134216309,0.8088328242301941
efficientnet,identity,16,0.0005,,3.560063362121582,29.036426544189453,5.388545989990234,0.7656995058059692
mobilenet,random,16,0.0005,,3.5650603771209717,24.5238037109375,4.952151298522949,0.8419604301452637
mobilenet,identity,16,0.0005,,3.568753242492676,28.154193878173828,5.3060526847839355,0.772818386554718
mobilenet,random,32,0.0005,,3.5812878608703613,22.846878051757812,4.77984094619751,0.8527671098709106
resnet18,random,16,0.0001,,3.5880703926086426,25.35158920288086,5.035036087036133,0.836625874042511
mobilenet,identity,32,0.0005,,3.596247911453247,28.242816925048828,5.31439733505249,0.7721032500267029
mobilenet,random,32,0.0005,,3.623715400695801,25.078533172607422,5.007847309112549,0.8383855819702148
resnet34,random,16,0.0001,,3.636059522628784,28.353498458862305,5.324800491333008,0.8172805905342102
mobilenet,identity,16,0.0001,,3.6481902599334717,28.162137985229492,5.3068013191223145,0.7727542519569397
resnet34,random,32,0.0001,,3.657547950744629,28.712472915649414,5.358402252197266,0.8149672150611877
resnet34,identity,16,0.0005,,3.6614701747894287,28.88542938232422,5.374516487121582,0.766917884349823
resnet50,identity,16,1e-05,,3.6745619773864746,27.63372802734375,5.256779193878174,0.777018129825592
mobilenet,identity,32,0.0001,,3.6819469928741455,27.490488052368164,5.243137359619141,0.7781739234924316
efficientnet,random,32,0.0005,,3.6900861263275146,26.328413009643555,5.13112211227417,0.8303308486938477
resnet50,random,32,0.0001,,3.7053096294403076,26.066709518432617,5.105556964874268,0.8320174217224121
mobilenet,identity,32,0.0005,,3.7054574489593506,25.15377426147461,5.015353679656982,0.7970293760299683
efficientnet,identity,32,0.0005,,3.7177836894989014,27.68320655822754,5.261483192443848,0.7766188383102417
resnet50,identity,16,1e-05,,3.7261319160461426,27.00348472595215,5.196487903594971,0.7821036577224731
resnet18,identity,16,0.0001,,3.731389284133911,25.987140655517578,5.0977582931518555,0.7903047800064087
resnet50,identity,16,0.0005,,3.73161244392395,29.58547592163086,5.439253330230713,0.7612690925598145
resnet50,random,32,0.0005,,3.7333574295043945,26.583620071411133,5.155930519104004,0.8286862373352051
mobilenet,random,32,0.0005,,3.736726760864258,26.264257431030273,5.124866485595703,0.8307443261146545
mobilenet,identity,32,0.0005,,3.7415404319763184,27.783794403076172,5.27103328704834,0.7758072018623352
resnet50,random,32,0.0005,,3.7470016479492188,29.197847366333008,5.40350341796875,0.8118392825126648
resnet50,random,16,0.0001,,3.748394250869751,29.743425369262695,5.453753471374512,0.8083233833312988
efficientnet,identity,16,0.0005,,3.7573347091674805,33.09501266479492,5.752826690673828,0.73294997215271
efficientnet,random,16,0.0001,,3.7592480182647705,25.63605499267578,5.063206195831299,0.8347927331924438
resnet34,identity,16,0.0005,,3.7646708488464355,31.50060272216797,5.612539768218994,0.7458155155181885
resnet50,identity,32,0.0005,,3.78275990486145,32.435691833496094,5.695234298706055,0.7382701635360718
mobilenet,random,32,0.0001,,3.7895348072052,25.436233520507812,5.0434346199035645,0.8360804319381714
resnet18,random,16,0.0005,,3.796096086502075,26.171878814697266,5.115845680236816,0.8313396573066711
mobilenet,identity,16,0.0001,,3.796339511871338,27.41343879699707,5.235784530639648,0.7787956595420837
mobilenet,random,16,0.0001,,3.7971208095550537,26.948871612548828,5.191230297088623,0.8263324499130249
resnet18,identity,32,0.0001,,3.8045053482055664,29.100889205932617,5.394524097442627,0.7651792764663696
resnet18,identity,32,0.0005,,3.816652774810791,30.463991165161133,5.5194196701049805,0.7541801333427429
efficientnet,identity,16,0.0001,,3.81903076171875,32.999019622802734,5.744477272033691,0.7337245941162109
mobilenet,random,32,0.0001,,3.82405161857605,27.10094451904297,5.205856800079346,0.8253524303436279
resnet50,identity,32,0.0001,,3.827211856842041,30.971891403198242,5.565239429473877,0.7500818371772766
resnet34,identity,32,0.0005,,3.8535170555114746,25.679283142089844,5.0674729347229,0.7927889227867126
resnet18,identity,32,0.0001,,3.8549516201019287,29.32355499267578,5.415122985839844,0.7633825540542603
efficientnet,random,32,0.0001,,3.8579885959625244,28.049823760986328,5.296208381652832,0.8192375302314758
mobilenet,identity,16,0.0005,,3.875910997390747,28.51188850402832,5.3396525382995605,0.7699320316314697
resnet18,random,16,0.0005,,3.886479377746582,31.275924682617188,5.5924882888793945,0.7984474897384644
efficientnet,random,32,0.0005,,3.898566246032715,30.705705642700195,5.54127311706543,0.802122175693512
efficientnet,random,16,0.0005,,3.9059898853302,29.492891311645508,5.4307355880737305,0.8099379539489746
resnet18,random,32,0.0005,,3.909553050994873,30.832292556762695,5.552683353424072,0.8013063669204712
resnet50,random,16,1e-05,,3.915195941925049,31.08561897277832,5.575448036193848,0.799673855304718
efficientnet,random,32,0.0001,,3.925252676010132,27.785799026489258,5.271223545074463,0.8209390640258789
mobilenet,random,16,0.0001,,3.928339719772339,29.043352127075195,5.389188289642334,0.8128349184989929
resnet34,random,16,0.0001,,3.948129653930664,32.77422332763672,5.72487735748291,0.7887918949127197
mobilenet,random,32,0.0001,,3.9546959400177,27.527965545654297,5.246709823608398,0.8226006031036377
resnet50,random,16,0.0005,,3.9597768783569336,32.454036712646484,5.696844577789307,0.790855348110199
mobilenet,identity,16,0.0001,,3.9602906703948975,28.823421478271484,5.368744850158691,0.7674182057380676
resnet50,identity,16,0.0005,,3.973628044128418,32.39293670654297,5.691479206085205,0.7386151552200317
efficientnet,random,16,0.0005,,3.9846105575561523,31.736204147338867,5.633489608764648,0.7954813241958618
mobilenet,random,16,0.0001,,3.990346670150757,28.342453002929688,5.323762893676758,0.817351758480072
resnet18,random,16,0.0005,,4.006894111633301,33.606380462646484,5.797101020812988,0.7834292650222778
resnet50,identity,32,1e-05,,4.011433124542236,31.163097381591797,5.582391738891602,0.7485389113426208
efficientnet,identity,32,0.0001,,4.04299259185791,36.777923583984375,6.064480304718018,0.7032318115234375
efficientnet,identity,32,0.0005,,4.053736209869385,33.21065902709961,5.762868881225586,0.7320168018341064
resnet50,random,16,0.0005,,4.0603179931640625,36.224456787109375,6.018675804138184,0.7665574550628662
efficientnet,identity,16,0.0005,,4.065108299255371,31.09510040283203,5.576298236846924,0.7490875720977783
resnet50,identity,32,0.0005,,4.0782036781311035,35.32112121582031,5.94315767288208,0.71498703956604
efficientnet,random,16,0.0001,,4.099018573760986,27.169818878173828,5.212467670440674,0.8249086141586304
resnet50,identity,32,0.0001,,4.158153057098389,31.298667907714844,5.5945210456848145,0.7474449872970581
efficientnet,identity,32,0.0001,,4.1608052253723145,37.483482360839844,6.12237548828125,0.6975385546684265
efficientnet,identity,16,0.0001,,4.171108722686768,38.24104309082031,6.183934211730957,0.6914256811141968
efficientnet,random,32,0.0001,,4.176700592041016,31.58600425720215,5.620142936706543,0.7964491844177246
efficientnet,identity,16,0.0001,,4.250819683074951,35.33561325073242,5.944376468658447,0.7148700952529907
efficientnet,identity,32,0.0001,,4.266668796539307,37.52836608886719,6.126039981842041,0.6971763372421265
efficientnet,random,16,0.0001,,4.589590549468994,40.838443756103516,6.390496253967285,0.7368234395980835
resnet50,random,16,1e-05,,4.600520133972168,39.19649887084961,6.260710716247559,0.7474046945571899
